"id_municipio";"vl_ideb";"vl_proj"
2411908;4.2;4.5
2412005;3.5;4.5
2412104;4.7;5.0
2412203;2.8;4.3
2412302;4.0;4.2
2412401;;4.9
2412500;4.4;4.3
2412559;4.2;4.0
2412609;3.3;4.4
2412708;;4.2
2412807;2.9;4.3
2412906;2.6;4.4
2413003;3.4;4.3
2413102;;4.0
2413201;2.9;4.2
2413300;3.6;4.7
2413359;2.9;3.9
2413409;4.0;4.4
2413508;3.5;4.0
2413557;3.6;4.5
2413607;4.4;4.5
2413706;4.3;4.1
2413805;;5.3
2413904;3.2;4.1
2414001;3.1;4.6
2414100;3.8;4.3
2414159;4.0;5.0
2414209;3.8;4.4
2414308;4.7;4.5
2414407;3.1;4.1
2414456;3.3;3.7
2414506;3.2;4.5
2414605;4.1;4.4
2414704;3.4;4.2
2414753;3.6;4.8
2414803;3.1;4.3
2414902;4.9;4.4
2415008;;4.1
2500106;5.5;4.5
2500205;3.6;4.9
2500304;3.1;4.3
2500403;3.7;4.5
2500502;3.8;4.4
2500536;3.9;4.5
2500577;3.4;4.3
2500601;3.6;4.8
2500700;4.0;4.2
2500734;4.2;4.6
2500775;4.3;4.2
2500809;3.7;4.1
2500908;3.3;4.1
2501005;3.4;4.5
2501104;3.5;4.5
2501153;;4.3
2501203;4.4;4.6
2501302;3.3;4.7
2501351;;4.3
2501401;3.5;4.6
2501500;3.3;4.3
2501534;4.5;3.8
2501575;4.4;4.1
2501609;3.9;4.3
2501708;4.8;4.7
2501807;3.6;4.2
2501906;3.7;4.5
2502003;3.3;4.0
2502052;4.1;4.3
2502102;3.7;4.5
2502151;4.2;4.9
2502201;3.8;4.7
2502300;5.0;4.0
2502409;3.7;4.6
2502508;3.7;4.3
2502607;4.2;3.9
2502706;3.0;4.0
2502805;4.7;4.4
2502904;3.7;3.9
2503001;3.2;4.4
2503100;5.0;4.6
2503209;4.1;4.4
2503308;3.6;4.1
2503407;4.7;5.0
2503506;4.1;4.9
2503555;2.8;4.0
2503605;3.6;4.3
2503704;4.1;4.4
2503753;4.9;4.4
2503803;3.4;5.1
2503902;4.6;4.4
2504009;4.1;4.4
2504033;4.2;3.9
2504074;4.5;4.6
2504108;4.2;4.9
2504157;3.1;4.1
2504207;3.9;4.2
2504306;3.8;4.5
2504355;3.5;4.7
2504405;3.8;4.5
2504504;4.2;4.3
2504603;4.6;4.3
2504702;5.2;4.8
2504801;3.6;4.3
2504850;4.9;4.7
2504900;2.9;4.2
2505006;4.9;5.1
2505105;4.4;4.4
2505204;3.3;3.8
2505238;;4.6
2505279;4.0;4.6
2505303;3.8;4.9
2505352;;4.1
2505402;4.1;4.4
2505501;4.2;4.4
2505600;4.3;4.3
2505709;4.3;4.5
2505808;3.8;4.3
2505907;4.2;4.3
2506004;4.2;4.5
2506103;3.3;4.3
2506202;3.4;4.5
2506251;3.9;4.4
2506301;3.8;4.3
2506400;2.9;4.3
2506509;4.4;4.4
2506608;;3.9
2506707;3.4;3.9
2506806;3.4;4.1
2506905;3.8;4.1
2507002;3.9;4.3
2507101;3.8;4.3
2507200;3.3;4.2
2507309;3.6;4.6
2507408;3.5;4.2
2507507;4.2;4.5
2507606;3.3;4.2
2507705;4.1;3.9
2507804;3.9;4.1
2507903;4.6;4.3
2508000;4.8;4.6
2508109;3.4;4.1
2508208;3.0;4.3
2508307;3.4;4.3
2508406;3.9;4.3
2508505;4.3;4.2
2508554;4.2;4.2
2508604;4.2;4.0
2508703;3.0;4.2
2508802;4.0;4.3
2508901;3.0;4.2
2509008;3.8;4.2
2509057;3.2;3.9
2509107;3.3;4.3
2509156;3.7;4.5
2509206;3.7;4.1
2509305;3.7;4.1
2509339;3.6;4.4
2509370;4.3;4.0
2509396;4.4;4.1
2509404;3.6;4.2
2509503;4.1;5.0
2509602;4.2;4.5
2509701;4.8;4.9
2509800;3.5;4.1
2509909;3.8;5.0
2510006;3.8;4.1
2510105;3.0;4.1
2510204;4.1;4.2
2510303;4.4;4.3
2510402;4.0;4.1
2510501;4.4;5.0
2510600;;4.3
2510659;3.9;4.3
2510709;3.9;3.8
2510808;3.9;4.3
2510907;4.9;4.1
2511004;3.8;3.8
2511103;4.4;4.3
2511202;3.9;4.0
2511301;4.0;3.9
2511400;5.1;4.3
2511509;3.4;4.0
2511608;3.2;4.3
2511707;3.2;4.8
2511806;3.4;4.5
2511905;3.2;4.2
2512002;3.9;4.5
2512036;2.8;4.2
2512077;4.7;4.8
2512101;4.7;4.4
2512200;4.5;4.7
2512309;4.9;4.3
2512408;3.7;4.3
2512507;4.5;4.1
2512606;;5.5
2512705;3.3;4.3
2512721;3.8;4.5
2512747;3.9;4.2
2512754;3.6;4.2
2512762;3.6;4.3
2512788;3.4;4.2
2512804;4.0;4.1
2512903;2.9;4.2
2513000;4.2;4.2
2513109;3.4;4.5
2513158;4.0;4.5
2513208;3.9;4.1
2513307;5.0;4.3
2513356;3.6;4.2
2513406;4.7;4.4
2513505;4.2;4.9
2513604;3.0;4.4
2513653;3.2;4.6
2513703;3.4;4.2
2513802;4.4;4.3
2513851;5.4;4.0
2513901;4.3;4.3
2513927;4.6;4.8
2513943;4.5;4.2
2513968;4.5;4.4
2513984;5.4;4.6
2514008;4.3;3.8
2514107;4.8;3.9
2514206;4.0;4.3
2514305;4.2;4.6
2514404;4.3;3.9
2514453;3.0;3.9
2514503;3.5;4.6
2514552;3.6;4.0
2514602;4.7;3.9
2514651;4.6;4.4
2514701;5.2;4.5
2514800;3.8;4.3
2514909;4.3;3.9
2515005;3.1;4.4
2515104;4.1;4.6
2515203;3.8;4.5
2515302;3.4;4.1
2515401;4.4;4.5
2515500;3.9;4.9
2515609;3.8;4.9
2515708;4.7;5.0
2515807;2.8;3.9
2515906;;4.1
2515930;3.9;5.0
2515971;3.2;4.3
2516003;3.3;4.3
2516102;4.1;4.4
2516151;4.0;4.2
2516201;4.1;4.3
2516300;4.4;4.7
2516409;3.7;4.5
2516508;3.7;4.3
2516607;4.4;4.2
2516706;3.3;4.3
2516755;;4.3
2516805;3.4;4.1
2516904;3.5;4.6
2517001;4.5;5.3
2517100;5.8;4.9
2517209;4.7;5.0
2517407;4.8;4.9
2600054;4.2;4.2
2600104;5.4;4.2
2600203;4.8;4.1
2600302;4.8;4.5
2600401;4.2;3.9
2600500;4.7;3.8
2600609;4.0;4.6
2600708;3.9;4.1
2600807;4.6;4.2
2600906;3.2;4.4
2601003;3.8;4.0
2601052;4.2;4.2
2601102;4.4;5.0
2601201;5.0;4.6
2601300;6.2;4.3
2601409;3.9;4.2
2601508;4.9;4.5
2601607;4.7;4.7
2601706;4.1;4.3
2601805;4.6;4.3
2601904;4.9;4.6
2602001;4.0;4.6
2602100;4.4;4.2
2602209;4.7;4.5
2602308;6.8;4.2
2602407;4.2;4.4
2602506;5.8;4.7
2602605;4.2;4.2
2602704;4.1;4.1
2602803;4.4;4.0
2602902;4.2;4.4
2603009;4.6;4.3
2603108;4.6;4.3
2603207;4.8;4.0
2603306;4.7;4.2
2603405;4.8;4.4
2603454;4.7;4.5
2603504;4.6;5.0
2603603;;4.0
2603702;4.7;4.2
2603801;4.3;4.1
2603900;5.7;4.4
2603926;4.4;5.4
2604007;4.5;4.4
2604106;4.8;4.5
2604155;4.2;4.7
2604205;3.6;4.3
2604304;4.4;4.7
2604403;3.7;3.9
2604502;3.4;4.2
2604601;3.8;4.0
2604700;4.0;4.2
2604809;4.7;4.2
2604908;3.6;4.2
2605004;4.9;4.2
2605103;5.1;4.2
2605152;5.7;4.3
2605202;3.9;4.2
2605301;4.5;4.5
2605400;4.8;4.3
2605459;4.7;4.6
2605509;4.2;4.4
2605608;4.9;4.3
2605707;4.6;4.6
2605806;4.4;4.4
2605905;3.7;4.4
2606002;4.9;4.4
2606101;4.2;4.1
2606200;3.7;4.2
2606309;4.6;5.2
2606408;4.4;4.2
2606507;4.4;4.4
2606606;6.2;4.0
2606705;4.7;4.4
2606804;4.6;4.2
2606903;5.3;4.3
2607000;4.0;4.0
2607109;4.8;5.0
2607208;3.9;4.0
2607307;4.8;4.1
2607406;4.8;5.3
2607505;4.4;4.4
2607604;4.3;4.2
2607653;3.8;4.0
2607703;5.1;4.6
2607752;5.6;4.1
2607802;3.7;4.1
2607901;4.5;4.3
2607950;4.0;4.1
2608008;4.5;4.0
2608057;5.2;4.8
2608107;5.3;4.7
2608206;4.1;4.3
2608255;4.9;4.2
2608305;5.2;4.2
2608404;4.3;4.3
2608453;4.0;4.3
2608503;3.6;4.1
2608602;4.3;4.2
